ID,Category,Geometry_Problem
236,Hình học không gian,Cho hình lập phương ABCD .A'B'C'D' có cạnh AB = 4cm .
237,Hình học không gian,Cho hình lập phương MNPQ .M'N'P'Q' có cạnh bằng 8cm .
238,Hình học không gian,Cho hình lập phương ABCD .A'B'C'D' có cạnh bằng 10cm .
239,Hình học không gian,Cho hình lập phương XYZT .X'Y'Z'T' có cạnh bằng 4cm .
240,Hình học không gian,Cho hình lập phương ABCD .A'B'C'D' biết cạnh AA' = 5cm .
241,Hình học không gian,Cho hình lập phương MNPQ .M'N'P'Q' có cạnh bằng 6cm .
242,Hình học không gian,Cho hình lập phương ABCD .A'B'C'D' biết đường chéo bằng 5cm .
243,Hình học không gian,Cho hình lập phương A1B1C1D1 .A2B2C2D2 có cạnh bằng 2cm .
244,Hình học không gian,Cho hình lập phương XYZT .X'Y'Z'T' biết XX' = 6cm .
245,Hình học không gian,Cho hình lập phương ABCD .A'B'C'D' có cạnh bằng 3cm .
246,Hình học không gian,Cho hình lập phương MNPQ .M'N'P'Q' có cạnh bằng 7cm .
247,Hình học không gian,Cho hình lập phương ABCD .A'B'C'D' biết AD = 4cm .
248,Hình học không gian,Cho hình lập phương A1B1C1D1 .A2B2C2D2 có cạnh bằng 8cm .
249,Hình học không gian,Cho hình lập phương XYZT .X'Y'Z'T' có cạnh bằng 5cm .
250,Hình học không gian,Cho hình lập phương ABCD .A'B'C'D' có cạnh bằng 12cm .
251,Đường tròn,Cho đường tròn tâm O đường kính 6cm.
252,Đường tròn,Cho đường tròn tâm O đường kính 12cm.
253,Đường tròn,Cho đường tròn tâm O đường kính 14cm.
254,Đường tròn,Cho đường tròn tâm O đường kính 8cm.
255,Đường tròn,Cho đường tròn tâm O đường kính 16cm.
256,Đường tròn,Cho đường tròn tâm O bán kính 3cm.
257,Đường tròn,Cho đường tròn tâm O bán kính 4cm.
258,Đường tròn,Cho đường tròn tâm O bán kính 5cm.
